2026-03-28 15:19:38 - __main__ - INFO - app | __main__ | ============================================================
2026-03-28 15:19:38 - __main__ - INFO - app | __main__ | AI Ticket Support Chatbot - Backend Server
2026-03-28 15:19:38 - __main__ - INFO - app | __main__ | ============================================================
2026-03-28 15:19:38 - __main__ - INFO - app | initialize_system | Initializing System...
2026-03-28 15:19:38 - __main__ - INFO - app | initialize_system | 1. Loading Groq Classifier...
2026-03-28 15:19:38 - __main__ - INFO - app | initialize_system |   Classifier ready
2026-03-28 15:19:38 - __main__ - INFO - app | initialize_system | 2. Loading Groq RAG System...
2026-03-28 15:19:42 - __main__ - ERROR - app | initialize_system | Initialization error: Can't load the model for 'sentence-transformers/all-MiniLM-L6-v2'. If you were trying to load it from 'https://huggingface.co/models', make sure you don't have a local directory with the same name. Otherwise, make sure 'sentence-transformers/all-MiniLM-L6-v2' is the correct path to a directory containing a file named pytorch_model.bin, tf_model.h5, model.ckpt or flax_model.msgpack.
2026-03-28 15:19:42 - __main__ - ERROR - app | __main__ | Failed to initialize system. Please check errors above.
2026-03-28 15:20:01 - __main__ - INFO - app | __main__ | ============================================================
2026-03-28 15:20:01 - __main__ - INFO - app | __main__ | AI Ticket Support Chatbot - Backend Server
2026-03-28 15:20:01 - __main__ - INFO - app | __main__ | ============================================================
2026-03-28 15:20:01 - __main__ - INFO - app | initialize_system | Initializing System...
2026-03-28 15:20:01 - __main__ - INFO - app | initialize_system | 1. Loading Groq Classifier...
2026-03-28 15:20:01 - __main__ - INFO - app | initialize_system |   Classifier ready
2026-03-28 15:20:01 - __main__ - INFO - app | initialize_system | 2. Loading Groq RAG System...
2026-03-28 15:20:04 - __main__ - ERROR - app | initialize_system | Initialization error: Can't load the model for 'sentence-transformers/all-MiniLM-L6-v2'. If you were trying to load it from 'https://huggingface.co/models', make sure you don't have a local directory with the same name. Otherwise, make sure 'sentence-transformers/all-MiniLM-L6-v2' is the correct path to a directory containing a file named pytorch_model.bin, tf_model.h5, model.ckpt or flax_model.msgpack.
2026-03-28 15:20:05 - __main__ - WARNING - app | __main__ | Warning: System initialization failed. AI features may be unavailable.
2026-03-28 15:20:05 - __main__ - INFO - app | __main__ | Starting Flask server...
2026-03-28 15:20:05 - __main__ - INFO - app | __main__ | Endpoints:
2026-03-28 15:20:05 - __main__ - INFO - app | __main__ |   - GET  /          : Login/Landing page
2026-03-28 15:20:05 - __main__ - INFO - app | __main__ |   - POST /login     : User login
2026-03-28 15:20:05 - __main__ - INFO - app | __main__ |   - POST /register  : User registration
2026-03-28 15:20:05 - __main__ - INFO - app | __main__ |   - POST /chat      : Send chat messages
2026-03-28 15:20:05 - __main__ - INFO - app | __main__ | ============================================================
2026-03-28 15:20:34 - __main__ - INFO - app | __main__ | ============================================================
2026-03-28 15:20:34 - __main__ - INFO - app | __main__ | AI Ticket Support Chatbot - Backend Server
2026-03-28 15:20:34 - __main__ - INFO - app | __main__ | ============================================================
2026-03-28 15:20:34 - __main__ - INFO - app | initialize_system | Initializing System...
2026-03-28 15:20:34 - __main__ - INFO - app | initialize_system | 1. Loading Groq Classifier...
